;Ник;Голд;Кристаллы;Пирахи;
17.02.2023;Jah Mason;36984132378385000;2147483647;48365075;
17.02.2023;Ласт Перейро;2062189012017600000;2147483647;161798607;
17.02.2023;dodid;3101878914450899968;2147483647;28635000;
17.02.2023;бешка-бебешка_;29172118708311000;1733722514;2147483647;
17.02.2023;GoldGirl.;9223372046078099456;1621826956;2147483647;
17.02.2023;Fon Dorf;899358383503190016;1379795648;91580000;
17.02.2023;Ragnar Lodbrok;1017482240502400000;1277968830;473794671;
17.02.2023;danilRoman;974023962485980032;1140416584;332580665;
17.02.2023;Sollia;1965901256547699968;728802762;1295795410;
17.02.2023;Chokkolatta;175174950777670;698869048;22380500;
17.02.2023;Димсонхрендель;2994502900690200064;686355475;84275000;
17.02.2023;DomInatoR.;856386943719459968;547274756;68761649;
17.02.2023;Очень синяя борода;812738086507799936;530404093;22774412;
17.02.2023;**SUPERHelen**;1517589563080999936;527723388;122250000;
17.02.2023;Ice flame;1500380188272899840;460296993;2147483647;
17.02.2023;walmau 6altau;1356004723372000;400472080;13700000;
17.02.2023;~Бармалей~;2040279041748300032;395864355;2147483647;
17.02.2023;Knowhere;343846067049680000;382913830;15250000;
17.02.2023;:Сотофа Ханемер:;40589167542376;374571855;48984500;
17.02.2023;Задумавшийся;9223372036;295528840;152247500;
17.02.2023;ASCENDANT;3186442555093599744;278768484;1085975000;
17.02.2023;DambLDoR;536745477219459968;276040515;2147483647;
17.02.2023;~Мальвина~;62763726957349000;256043286;23940000;
17.02.2023;=ЛюЛюНдРа=;1083192962808699904;247121945;666300000;
17.02.2023;Зверь Это Я;196154536449129984;222177855;31317155;
17.02.2023;К@манчик;1268125305950700;209840011;119700000;
17.02.2023;T@nk;416322150206869952;197881342;51518250;
17.02.2023;_Фея Лана_;801866929813690112;169704792;60440000;
17.02.2023;Kseya;62664493532594000;150053300;55070784;
17.02.2023;barantya;1874007154660400;142401148;36850004;
17.02.2023;Катберт;80298392069996000;140606334;64346634;
17.02.2023;zabu;4916981001178600448;121223579;53050000;
17.02.2023;~Цветанка~;215977269098789984;120167750;2147483647;
17.02.2023;DIMolition;27307684300578000;109846391;54750052;
17.02.2023;~DROSSEL~;8287952461567;102448662;27685000;
17.02.2023;Матюслик;970133749291800;75286525;17758000;
17.02.2023;*Милка;3766518864079900160;65182198;458850000;
17.02.2023;Bravan;5912726688341799936;61405936;1554976501;
17.02.2023;~КоВбоЙ ХаГиС~;42386038495915000;59095341;38383500;
17.02.2023;Mental1tet;1103096679237600000;49811942;34400015;
17.02.2023;Jateed;1777711258617200128;34099250;1906551575;
17.02.2023;*МАРТИНА*;48842052239219000;25365767;25390500;
17.02.2023;DYNA;2089747788116;12911246;43611675;
17.02.2023;BarDuck;3907724383109300;7392443;2805550;
17.02.2023;Бродвей;1030521645562800000;7083025;11350000;
17.02.2023;Ruslan);146191338521329984;2905000;1300000;
17.02.2023;StasLz42;9223372036;2765200;63500000;
17.02.2023;Тудор;5424650022915400;1877604;1400500;
17.02.2023;Kerberos;33849170123022000;982602;2793750;
17.02.2023;Bape}||{ka;10909068693101;637101;190000;
17.02.2023;Katolik;783993589954710;600680;4650000;
17.02.2023;Макыс;1039126134693000064;535950;2250000;
17.02.2023;d_MIX_b;9223372036;515000;950000;
17.02.2023;-Brain-;9872285536;501175;11375000;
17.02.2023;NeXTY;9223372036;359400;1150000;
17.02.2023;Pyrojok;11247649396;272900;610000;
17.02.2023;*Kronos*;242021223372040;253715;701850;
17.02.2023;DominosZ;9223372036;164000;700000;
17.02.2023;метрономикс;4540110827021800;92550;150000;
17.02.2023;THE MECHANIC;13979720055728000;34100;50000;
